hex_id,value
87be71111ffffff,2.3445512888368234
87be7111effffff,2.2341842402663215
87be711abffffff,2.217242662594635
87be7111affffff,2.208402894076571
87be71d62ffffff,2.182926261962949
87be7111cffffff,2.177130928510119
87be625b5ffffff,2.1616960453665484
87be71d60ffffff,2.0901058498795306
87be71968ffffff,2.0887618452252767
87be62596ffffff,2.0571250679484394
87be71d0affffff,2.0120041619383056
87be754f6ffffff,1.9994934800208106
87be71d63ffffff,1.9971226450846298
87be7525cffffff,1.9668273574308122
87be71940ffffff,1.9407549298030444
87be71d0effffff,1.936320681349212
87be62590ffffff,1.9063453265176087
87be62594ffffff,1.8874417798848138
87be71c14ffffff,1.8725199959516161
87be625a0ffffff,1.8618697610973043
87be71d88ffffff,1.8574620561019244
87be71945ffffff,1.850849681403182
87be7196effffff,1.8213155420849618
87be7521effffff,1.7595249609713852
87be7111bffffff,1.757655620897828
87be71961ffffff,1.7545594821123838
87be75242ffffff,1.7278026002928133
87be711a9ffffff,1.704410172571276
87be75245ffffff,1.6715461356520949
87be7199affffff,1.6700185565055994
87be71d03ffffff,1.6523600914811813
87be71d56ffffff,1.6461931607305433
87be71d11ffffff,1.6132620573482253
87be71948ffffff,1.596632651938409
87be62499ffffff,1.5825588761253755
87be71d00ffffff,1.5667191980514992
87be756ecffffff,1.5523593877848056
87be71d61ffffff,1.5400046458996972
87be71d13ffffff,1.53227700976478
87be625b1ffffff,1.5265316495484882
87be711adffffff,1.5086746669733848
87be62595ffffff,1.488242481863393
87be625a1ffffff,1.4871121270909147
87be70b86ffffff,1.4834893577027413
87be7541affffff,1.4718375199881957
87be71d8dffffff,1.4539109438779831
87be75240ffffff,1.4330578515666974
87be71c36ffffff,1.4121094211103684
87be71da0ffffff,1.4111029962169503
87be71d8cffffff,1.4067942614590347
87be75652ffffff,1.4020486914426573
87be625a3ffffff,1.3944560092505691
87be62601ffffff,1.3761217729755961
87be752adffffff,1.3758313971725515
87be7199effffff,1.3730423509803504
87be752f1ffffff,1.3667847807511082
87be71d09ffffff,1.3462499014477243
87be621a9ffffff,1.3448872350392038
87be62591ffffff,1.3398743302073366
87be71d65ffffff,1.3352529934748967
87be75243ffffff,1.3335619946332173
87be6211affffff,1.3309073406084613
87be756caffffff,1.330371092196513
87be71c30ffffff,1.328366301505298
87be71d1effffff,1.3259558146064692
87be71d1dffffff,1.3246027946515195
87be756e9ffffff,1.3224581935217594
87be752a9ffffff,1.3207670430697132
87be7405dffffff,1.314340577023453
87be70bb3ffffff,1.313908159733626
87be625b0ffffff,1.3013199667178519
87be70821ffffff,1.298227449428967
87be7541bffffff,1.2865136666509367
87be754a9ffffff,1.2831860622920979
87be7196cffffff,1.2784014739004876
87be62600ffffff,1.2741513868255065
87be7080cffffff,1.2724189555768202
87be7012bffffff,1.2669622405165162
87be70bb1ffffff,1.2652849750233581
87be6260effffff,1.2638474005307483
87be71d0dffffff,1.2627803108695421
87be71d08ffffff,1.2620066498320759
87be711acffffff,1.2605126748330509
87be71d42ffffff,1.2530839399321232
87be752e9ffffff,1.2521561400559578
87be7562affffff,1.251009980323211
87be75592ffffff,1.2467690582670956
87be75635ffffff,1.2374466956383157
87be7521affffff,1.2343883289457007
87be71975ffffff,1.2338690730255477
